words,mode,DCG,total_RFM,Var_TRFM
종목,3,13.46712445,108.1509244,4996282.658
종목,4,13.46712445,108.1509244,728.0545483
안,1,11.82409174,101.4055391,79.71414445
안,2,11.76126021,109.9298724,278.1709531
안,3,11.80397594,107.4824438,3.57664E+12
안,4,11.82509296,101.4055391,26579.69583
전략,1,16.95822463,115.4741008,24.45645877
전략,2,16.95688088,115.4741008,247.2375511
전략,3,17.04076288,115.4741008,9.02275E+14
전략,4,17.04076288,115.4741008,82906.10052
규칙,1,6.963417593,105.7776469,27.17613762
규칙,2,6.952178221,113.3108288,27.0472544
규칙,3,6.963780332,113.3108288,5021.450868
규칙,4,6.971771922,109.4876469,27.6342027
개념,1,10.67384777,105.4093333,33.03148189
개념,2,10.49511147,106.2093333,78.83826134
개념,3,10.68804359,105.4093333,6532729.431
개념,4,10.68804359,105.4093333,843.9066343
등장,1,4.910637042,116.4121429,31.23350207
등장,2,4.917703957,119.0607143,19.4639628
등장,3,4.918094204,119.0607143,935.03572
등장,4,4.910637042,116.4121429,7.898393755
유지,1,4.131767774,107.4693168,6.556797705
유지,2,4.050365432,113.8088406,2.101575074
유지,3,4.138505015,113.8088406,6.373293962
유지,4,4.148872521,110.5388406,0.11529136
지수,1,8.358461802,108.8941053,16.32447948
지수,2,8.216806617,112.9714386,16.51457063
지수,3,8.361998918,112.9714386,3923.453425
지수,4,8.385584706,108.8941053,25.28689431
통계,1,32.84260568,103.3676667,132.0707077
통계,2,34.46029259,103.3676667,1466.350998
통계,3,37.86076663,103.3676667,3.15E+24
통계,4,34.47758061,102.001,1562511.866
법칙,1,31.74118613,118.8051283,74.28198784
법칙,2,31.84598617,118.8051283,1433.926345
법칙,3,31.86365744,118.8051283,6.37E+25
법칙,4,31.86365744,118.8051283,5282780.691
서비스,1,24.62908683,102.3016667,170.6614544
서비스,2,26.22814198,106.7776667,1556.588216
서비스,3,26.36045453,102.3016667,1.33E+24
서비스,4,26.36045453,102.3016667,1931614.234
